Image,x1,y1,x2,y2,ClassNo,Test,Class,Make,Model,Type,Year,img_h,img_w,channels
000025.jpg,60,76,593,393,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,420,640,3
000026.jpg,21,18,492,316,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,334,500,3
000027.jpg,11,31,490,266,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,375,500,3
000028.jpg,8,3,135,86,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,92,137,3
000029.jpg,30,65,331,199,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,235,360,3
000030.jpg,5,14,93,58,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,62,93,3
000031.jpg,125,645,1845,1421,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,1600,2405,3
000032.jpg,20,48,385,283,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,295,400,3
000033.jpg,51,73,570,426,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,480,640,3
000034.jpg,79,469,1537,1198,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,1200,1600,3
000035.jpg,18,18,328,190,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,200,339,3
000036.jpg,13,235,2021,1253,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,1536,2048,3
000037.jpg,6,20,123,88,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,93,124,3
000038.jpg,26,25,283,157,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,183,300,3
000039.jpg,61,98,458,376,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,384,512,3
000040.jpg,111,213,907,683,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,743,1024,3
000041.jpg,178,214,901,658,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,768,1024,3
000042.jpg,9,14,490,368,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,368,490,3
000043.jpg,28,48,663,302,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,303,720,3
000044.jpg,4,9,96,88,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,96,96,3
000045.jpg,6,7,94,68,1,0,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,71,94,3
000046.jpg,14,16,268,169,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,182,278,3
000047.jpg,10,18,89,61,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,64,96,3
000048.jpg,111,54,365,190,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,216,373,3
000049.jpg,9,33,479,276,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,325,490,3
000050.jpg,9,3,93,41,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,41,101,1
000051.jpg,15,10,128,76,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,80,142,3
000052.jpg,11,60,796,535,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,580,800,3
000053.jpg,92,93,585,399,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,480,640,3
000054.jpg,5,9,87,61,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,62,93,3
000055.jpg,8,5,85,69,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,69,93,3
000056.jpg,70,94,439,341,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,368,490,3
000057.jpg,87,6,552,348,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,348,580,3
000058.jpg,28,14,118,80,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,93,143,3
000059.jpg,11,8,106,80,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,83,124,3
000060.jpg,53,108,544,413,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,437,600,3
000061.jpg,31,12,270,160,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,166,300,3
000062.jpg,4,13,145,109,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,112,150,3
000063.jpg,8,12,135,83,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,95,143,3
000064.jpg,11,16,135,93,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,105,140,3
000065.jpg,28,117,415,274,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,375,500,3
000066.jpg,45,39,729,414,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,600,800,3
000067.jpg,3,3,639,480,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,480,640,3
000068.jpg,18,30,133,93,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,112,150,3
000069.jpg,24,141,721,396,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,469,750,3
000070.jpg,31,20,226,119,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,144,250,3
000071.jpg,17,23,240,135,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,187,249,3
000072.jpg,6,20,137,73,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,92,137,3
000073.jpg,111,177,920,642,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,743,1024,3
000074.jpg,32,69,487,316,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,353,500,3
000075.jpg,2,7,102,57,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,57,102,3
000076.jpg,26,62,763,504,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,520,800,3
000077.jpg,46,115,623,469,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,491,786,3
000078.jpg,25,123,589,421,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,480,640,3
000079.jpg,20,79,654,425,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,500,700,3
000080.jpg,5,14,160,114,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,120,160,3
000081.jpg,62,73,718,441,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,477,800,3
000082.jpg,5,4,136,87,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,92,137,3
000083.jpg,67,98,283,213,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,360,320,3
000084.jpg,40,60,354,237,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,263,400,3
000085.jpg,12,18,113,78,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,83,124,3
000086.jpg,26,72,774,480,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,506,800,3
000087.jpg,24,1,368,199,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,200,400,3
000088.jpg,2,13,160,120,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,120,160,3
000089.jpg,11,13,84,60,1,1,AM General Hummer SUV 2000,AM General,Hummer,SUV,2000,64,96,3
000090.jpg,434,441,1805,1126,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,1236,2000,3
000091.jpg,104,183,842,608,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,683,1024,3
000092.jpg,7,133,716,444,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,518,720,3
000093.jpg,8,29,444,213,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,225,450,3
000094.jpg,150,102,877,444,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,570,1000,3
000095.jpg,139,416,1954,1149,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,1575,2100,3
000096.jpg,2,24,288,129,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,140,288,3
000097.jpg,115,63,817,324,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,347,960,3
000098.jpg,84,189,573,376,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,450,600,3
000099.jpg,13,256,769,532,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,600,800,3
000100.jpg,30,16,430,215,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,225,450,3
000101.jpg,32,32,438,394,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,445,480,3
000102.jpg,16,115,445,269,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,300,460,3
000103.jpg,34,53,270,139,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,164,300,3
000104.jpg,179,177,753,452,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,540,900,3
000105.jpg,68,93,440,317,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,360,480,3
000106.jpg,139,172,690,431,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,534,800,3
000107.jpg,60,166,614,425,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,469,750,3
000108.jpg,8,37,294,150,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,182,300,3
000109.jpg,36,40,261,174,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,200,300,3
000110.jpg,130,10,839,346,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,347,960,3
000111.jpg,23,134,619,349,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,480,640,3
000112.jpg,45,22,745,514,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,528,800,3
000113.jpg,10,34,242,126,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,150,250,3
000114.jpg,18,63,445,267,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,300,450,3
000115.jpg,56,95,627,368,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,480,640,3
000116.jpg,73,163,674,401,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,469,750,3
000117.jpg,97,49,455,326,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,366,550,3
000118.jpg,45,68,426,253,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,319,478,3
000119.jpg,20,16,449,300,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,322,468,3
000120.jpg,38,92,420,241,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,275,440,3
000121.jpg,18,141,603,367,2,0,Acura RL Sedan 2012,Acura,RL,Sedan,2012,420,628,3
000122.jpg,108,147,675,434,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,552,800,3
000123.jpg,85,43,731,324,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,347,960,3
000124.jpg,208,97,909,447,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,594,950,3
000125.jpg,24,55,588,405,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,480,640,3
000126.jpg,27,82,618,400,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,450,640,3
000127.jpg,97,7,888,336,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,347,960,3
000128.jpg,24,38,427,277,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,299,450,3
000129.jpg,30,11,269,196,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,199,300,3
000130.jpg,51,51,441,289,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,333,500,3
000131.jpg,186,151,459,347,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,480,640,3
000132.jpg,56,114,638,448,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,466,700,3
000133.jpg,12,33,292,171,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,199,300,3
000134.jpg,2,104,300,203,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,225,300,3
000135.jpg,32,96,565,362,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,386,575,3
000136.jpg,29,55,279,177,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,200,300,3
000137.jpg,14,98,536,299,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,350,560,3
000138.jpg,73,84,516,306,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,360,640,3
000139.jpg,42,103,451,277,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,360,480,3
000140.jpg,41,161,449,337,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,360,480,3
000141.jpg,76,111,580,458,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,519,650,3
000142.jpg,51,90,460,247,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,318,520,3
000143.jpg,129,32,861,602,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,681,1024,3
000144.jpg,13,82,691,432,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,467,701,3
000145.jpg,13,165,583,417,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,441,588,3
000146.jpg,28,27,397,217,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,255,425,3
000147.jpg,214,492,1345,967,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,1067,1600,3
000148.jpg,115,322,1085,674,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,797,1200,3
000149.jpg,129,213,899,614,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,716,1100,3
000150.jpg,11,87,470,268,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,355,569,3
000151.jpg,37,30,292,190,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,202,300,3
000152.jpg,85,245,713,472,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,492,786,3
000153.jpg,30,35,619,350,2,1,Acura RL Sedan 2012,Acura,RL,Sedan,2012,405,640,3
000154.jpg,29,75,271,168,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,187,300,3
000155.jpg,13,35,250,153,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,194,259,3
000156.jpg,10,24,254,158,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,194,259,3
000157.jpg,10,86,614,383,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,400,620,3
000158.jpg,36,116,868,587,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,675,900,3
000159.jpg,57,236,881,569,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,640,960,3
000160.jpg,147,125,471,426,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,480,640,3
000161.jpg,18,84,478,307,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,375,500,3
000162.jpg,47,100,605,371,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,400,642,3
000163.jpg,131,124,537,329,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,399,600,3
000164.jpg,33,115,576,346,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,372,604,3
000165.jpg,108,201,706,429,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,533,800,3
000166.jpg,48,41,511,237,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,254,550,3
000167.jpg,83,93,686,425,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,469,750,3
000168.jpg,37,77,582,342,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,389,632,3
000169.jpg,25,55,277,150,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,183,300,3
000170.jpg,13,115,787,440,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,526,800,3
000171.jpg,55,95,563,320,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,357,600,3
000172.jpg,52,46,487,247,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,315,500,3
000173.jpg,60,91,588,373,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,480,640,3
000174.jpg,8,80,250,184,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,192,262,3
000175.jpg,47,154,598,369,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,426,640,3
000176.jpg,26,49,477,288,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,333,500,3
000177.jpg,189,174,800,542,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,768,1024,3
000178.jpg,147,202,1066,629,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,798,1200,3
000179.jpg,35,12,448,331,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,352,468,3
000180.jpg,54,107,543,344,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,400,600,3
000181.jpg,1,66,619,339,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,372,620,3
000182.jpg,178,424,1828,1090,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,1200,1920,3
000183.jpg,14,84,627,398,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,480,640,3
000184.jpg,3,47,296,183,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,225,300,3
000185.jpg,28,34,297,182,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,240,320,3
000186.jpg,79,84,528,327,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,404,606,3
000187.jpg,15,14,278,171,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,183,300,3
000188.jpg,22,101,380,235,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,252,400,3
000189.jpg,1,1,1484,900,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,1067,1600,3
000190.jpg,51,57,590,402,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,480,640,3
000191.jpg,71,192,594,465,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,480,640,3
000192.jpg,283,298,1405,979,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,1200,1600,3
000193.jpg,15,9,468,408,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,418,480,3
000194.jpg,373,56,2663,1915,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,1983,3000,3
000195.jpg,14,67,482,302,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,375,500,3
000196.jpg,84,13,562,311,3,0,Acura TL Sedan 2012,Acura,TL,Sedan,2012,318,588,3
000197.jpg,18,97,282,203,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,225,300,3
000198.jpg,5,109,385,255,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,282,386,3
000199.jpg,55,62,204,178,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,194,259,3
000200.jpg,17,52,376,289,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,300,400,3
000201.jpg,45,86,532,334,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,355,569,3
000202.jpg,32,126,997,627,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,768,1024,3
000203.jpg,104,11,1997,1144,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,1333,2000,3
000204.jpg,13,27,778,368,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,380,788,3
000205.jpg,14,79,242,166,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,191,264,3
000206.jpg,12,68,285,193,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,222,296,3
000207.jpg,30,76,360,202,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,360,424,3
000208.jpg,73,41,422,296,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,333,500,3
000209.jpg,19,156,595,468,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,480,640,3
000210.jpg,1,65,271,180,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,186,271,3
000211.jpg,16,58,597,361,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,400,620,3
000212.jpg,123,34,714,436,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,469,750,3
000213.jpg,78,146,472,347,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,424,588,3
000214.jpg,32,71,548,281,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,315,563,3
000215.jpg,43,74,581,350,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,362,600,3
000216.jpg,51,54,246,186,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,225,300,3
000217.jpg,17,53,230,171,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,194,259,3
000218.jpg,128,159,879,521,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,570,1000,3
000219.jpg,153,152,802,480,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,600,900,3
000220.jpg,89,182,719,467,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,533,800,3
000221.jpg,52,94,470,304,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,360,480,3
000222.jpg,16,9,289,193,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,198,300,3
000223.jpg,121,133,674,544,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,563,800,3
000224.jpg,56,53,250,192,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,225,300,3
000225.jpg,52,28,546,336,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,350,615,3
000226.jpg,157,47,796,315,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,347,960,3
000227.jpg,44,58,389,312,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,360,480,3
000228.jpg,65,33,485,351,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,365,550,3
000229.jpg,39,64,386,246,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,280,433,3
000230.jpg,73,69,542,373,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,413,620,3
000231.jpg,22,84,779,466,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,503,800,3
000232.jpg,49,97,396,260,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,300,480,3
000233.jpg,14,165,574,387,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,441,588,3
000234.jpg,10,142,478,348,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,355,500,3
000235.jpg,17,92,288,198,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,211,300,3
000236.jpg,12,101,637,383,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,480,640,3
000237.jpg,19,23,698,284,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,302,720,3
000238.jpg,168,172,877,592,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,683,1024,3
000239.jpg,9,22,248,173,3,1,Acura TL Sedan 2012,Acura,TL,Sedan,2012,198,264,3
000240.jpg,147,215,1468,786,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,900,1600,3
000241.jpg,24,341,1001,696,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,768,1024,3
000242.jpg,30,26,589,373,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,480,640,3
000243.jpg,57,50,388,218,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,275,450,3
000244.jpg,58,146,943,553,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,603,986,3
000245.jpg,45,79,795,507,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,600,800,3
000246.jpg,66,277,932,564,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,768,1024,3
000247.jpg,62,220,992,667,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,768,1024,3
000248.jpg,62,149,560,323,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,480,640,3
000249.jpg,30,152,602,421,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,480,640,3
000250.jpg,51,71,588,375,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,480,640,3
000251.jpg,18,69,485,260,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,287,500,3
000252.jpg,39,47,452,227,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,250,490,3
000253.jpg,71,145,629,460,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,473,630,3
000254.jpg,48,59,612,432,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,480,640,3
000255.jpg,13,46,488,295,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,312,496,3
000256.jpg,62,176,400,330,4,0,Acura TL Type-S 2008,Acura,TL Type-S,Sedan,2008,360,480,3
